Time, PositionX, PositionY, PositionZ, PositionRX, PositionRY, PositionRZ, PositionJ1, PositionJ2, PositionJ3, PositionJ4, PositionJ5, PositionJ6
2024-11-07 16:41:18.318, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:18.838, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:19.346, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:19.856, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:20.361, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:20.871, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:21.390, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:21.906, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:22.410, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:22.921, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:23.426, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:23.942, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:24.460, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:24.958, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:25.470, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:25.979, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
